CARROT (FRESH)|The fridge is the best place to store carrots.|Carrots are best stored in the fridge, either in their original packaging or alternatively inside a loosely tied plastic bag.|Yes.|Cooked or uncooked carrots can be frozen. You can also add carrot to a stock bag and freeze along with onions and celery as preparation for a stew or soups.|Bendy carrots? Chop off a small slice from each end and place in cold water. They'll soon perk up.
CAULIFLOWER (FRESH)|The fridge is the best place to store cauliflower.|Keep cauliflower fresher for longer by storing it in its original packaging in the fridge.|Yes.|Slice cauliflower into small florets and blanch for 90 seconds, then cool in a bowl of ice water before freezing. Or why not try shop-bought frozen vegetables? It is often cheaper than fresh, and you can take as much as you need straight from the freezer.|Freshen up cauliflower by placing the stem in a jar or glass of water in the fridge.
CELERY|The fridge is the best place to store celery.|Celery should be stored in the fridge in its original packaging.|Yes.|Store celery in an airtight container in the freezer, or add to a stock bag in the freezer along with onion and carrots as preparation for a stew or soups.|Put soft or limp celery into a glass of water in the fridge - it will soon crisp up again.
CEREAL|The cupboard is the best place to store cereal.|Once opened, cereals should be stored in their original packaging sealed with a bag clip. Alternatively use an air tight container to keep it fresh. Beyond Best Before? Packet cereal can be eaten up to six months after the best before end date. |Soft or stale cereal can be refreshed in a hot oven for a couple of minutes to crisp up.|none|none
CHEESE|The fridge is the best place to store hard and soft cheese.|Hard cheese should be stored in an airtight container in the fridge - if you're using its original packaging, you can use a bag clip to seal it up. Blue cheese can be wrapped in tin foil.
Soft cheeses like Brie, Camembert and Feta should be well wrapped and stored in an airtight container in the fridge. Cream cheese and Ricotta should be stored in their original container and sealed closed.|Yes - Hard Cheese|Freeze your hard cheese! If you are buying a big block of hard cheese to make the most of a store bargain, grate it first and freeze to use later. This is good for cheese on toast, on top of baked beans or in an omelette.Not suitable for freezing – soft cheese.Soft cheese doesn't freeze well, but it can be added to savoury sauces. Try making a pasta sauce with your soft cheese, and then freeze it for another day.|Fresh parmesan can be expensive. To make it last longer, grate the whole wedge of parmesan into a container and place in the freezer – it’ll last for ages!
Chicken and Poultry|The fridge is the best place to store poultry.|All raw poultry should be stored at the bottom of the fridge in a clean, sealed container to stop it touching or dripping onto other things.|Yes.|You can freeze raw and cooked poultry right up to the 'use by' date. Cut raw chicken breasts into strips, lay them out on a tray and put the tray in the freezer. Once frozen you can pack the strips in bags and then use as many as you need each time, as they can be quickly added to stir fries and cooked from frozen.|Always keep cooked meats in the fridge, well wrapped and away from raw meat.
CHICKPEAS|The cupboard is the best place to store chickpeas.|Once opened, leftover chickpeas should be stored in an airtight container in the fridge.|Yes.|Chickpeas freeze well and should be frozen in a sealed container. You can add to soups, stews or curries straight from frozen.|Never store food in open cans in the fridge, as the metal of the can may transfer to the contents.
CITRUS FRUITS|The fridge is the best place to store citrus fruits.|Citrus fruits should be stored in their original packaging in the fridge.|Yes.|All citrus fruits can be simply sliced and frozen, or juiced into ice cube trays for adding to drinks and cooking. If you freeze the skins, this will make them much easier to zest with a grater if you want to use them later. |Keep your citrus fruits in the fridge and only bring to room temperature when you are ready to eat them.
COURGETTE|The fridge is the best place to store courgettes.|Courgettes should be stored in the fridge in their original packaging.|Yes.|Cut courgettes lengthways and grill before freezing.|Freshen up courgette by putting the stalk end in a jar or glass of water in the fridge. 
CREAM|The fridge is the best place to store cream.|Cream should be stored in the fridge.|Yes.|Whip leftover fresh cream before you freeze it to prevent it becoming grainy when thawed. Double cream will freeze better than single.|Try buying long-life cream for cooking so you always have it on hand when you need it. It also lasts longer when opened.
CUCUMBER (FRESH)|The fridge is the best place to store cucumber.|Store cucumber in the fridge in its original packaging.|Not suitable for freezing.|Foods with high water content, like lettuce and cucumber, do not freeze well.|Freshen up cucumber by putting the stalk end in a jar or glass of water in the fridge. 
DELI MEATS|The fridge is the best place to store deli meats.|Store deli meats in an airtight container in the fridge.|Yes.|Slice and separate cooked meats with greaseproof paper before freezing. They can then be defrosted as needed.|Always reseal open packets of sliced meats to keep them fresher for longer.
Dips|The fridge is the best place to store dips|Store your dips in the fridge make sure they are sealed to make them last longer.|Yes.|none|none
EGGS|The fridge is the best place to store eggs.|Store your eggs in the fridge.|Yes.|Simply crack your eggs into a sealable container and freeze. You can separate yolks from whites first if you want to use them for different dishes. Make sure you label the containers so you can easily identify them later on.|Eggs are best kept in their box to protect them, in the fridge.
Fish (salmon, sea bass, cod, haddock etc)|The fridge is the best place to store fish.|All raw fish should be wrapped tightly or stored in an airtight container, away from cooked foods and at the bottom of the fridge to stop it touching or dripping onto other items. When buying tinned fish never store in open cans in the fridge, as the metal of the can may transfer to the contents. Put it into a sealable container instead. Beyond Best Before? Unopened canned fish can be eaten up to three years after the best before end date.|Yes.|Make sure fish is sealed in a container before freezing. Check the packaging of fresh fish before freezing as some fish cannot be frozen. Or why not try shop-bought frozen fish? It is often cheaper than fresh, and you can take as much as you need straight from the freezer.|Tinned fish - salmon, tuna and sardines - are a cheaper and delicious alternative to fresh fish.
FIZZY DRINKS|The cupboard is the best place to store fizzy drinks.|Fizzy drinks should be re-sealed tightly and stored in the fridge or cupboard.|Yes.|Freeze fizzy drinks into moulds.|Consider buying smaller cans or bottles if you frequently waste soft drinks. Soft drinks that have gone flat are great for freezing into ice lollies.
FROZEN FOOD|Frozen food products are usually labelled Best Before End. On the packaging there is a guide stating how long the food can be stored that uses a star rating to indicate best quality. The star-rating reflects the length of time the product is likely to remain in good condition. Frozen properly, shop-bought frozen food should be safe to eat for months after the Best Before End date. Eventually, even well-frozen food will deteriorate.||Yes.|Freeze fizzy drinks into moulds.|Consider buying smaller cans or bottles if you frequently waste soft drinks. Soft drinks that have gone flat are great for freezing into ice lollies.
FRUIT JUICE|The fridge is the best place to store fruit juice.|Store opened juices in the fridge or according to pack instruction.|Yes.|Make your own ice lollies from leftover smoothies, apple and orange juice.|Writing a "drink by" date on an open carton will help to ensure it is used up.
GARLIC|The fridge is the best place to store garlic.|A cool dry place or in the fridge is the best place to store garlic to keep it fresher for longer.|Yes.|Crush peeled cloves with a little water and freeze the puree into ice cube trays, ready to use from frozen. Once frozen, tip the cubes into an airtight container.|According to Good Housekeeping, garlic keeps longest at 15°C in moderate humidity. However, if your cool dry place is really dry, the garlic won’t appreciate it. Storing garlic in the fridge takes care of the humidity, although it might start to sprout. If it does, it’s still edible.
GRAPES|The fridge is the best place to store grapes.|Keep grapes fresher for longer by storing them in their original packaging in the fridge.|Yes.|none|none
HERBS|The fridge is the best place to store herbs.|Keep herbs in their original packaging in the fridge. For 'Living/potted' herbs, follow the instructions on the packaging or consider re-potting.|Yes.|It’s worth freezing herbs that you use regularly, such as mint, parsley, chives, and tarragon. Wash and dry them before freezing whole in freezer bags, or chopped into ice cube trays covered with water. They can be cooked from frozen in casseroles, stews and sauces.|Keep herbs fresher for longer by keeping them in their original packaging in the fridge. Alternatively, place your fresh herbs into a half-filled jar with cold water. Keep in the door of your fridge, and change the water every few days. Garlic is best stored in a cool, dry place, but not the fridge. Cleaned, washed and dried fresh parsley will keep for more than 10 days in a tightly-closed plastic box between layers of paper towel.
HONEY|The cupboard is the best place to store honey.|Keep honey in a cool location, away from direct sunlight in a tightly sealed container.|Not suitable for freezing.|none|none
LAMB (Raw, Cooked)|The fridge is the best place to store lamb.|All raw meat should be stored at the bottom of the fridge in a clean, sealed container to stop it touching or dripping onto other things.|Yes.|Raw and cooked lamb can be frozen in a sealed bag or container. You can also freeze previously frozen meat if it's been cooked.|All raw meat should be stored at the bottom of the fridge in a clean, sealed container to stop it touching or dripping onto other things.
LEEK|The fridge is the best place to store leeks.|Keep leeks fresh by storing them in the fridge in their original packaging, or alternatively inside a loosely tied plastic bag.|Yes.|none|none
Lettuce|The fridge is the best place to store lettuce.|Store all varieties of lettuce in the fridge in their original packaging, or alternatively inside a loosely tied plastic bag.|No.|Foods with high water content, like lettuce and cucumber, do not freeze well.|Add a piece of kitchen roll to bagged lettuce before sealing with a bag clip, or put lettuce leaves in a tub lined with a piece of kitchen paper to keep them fresh. Lettuce gone a bit limp? Soak individual leaves in a bowl of cold water in the fridge - they'll soon perk up.
MAYONNAISE|The fridge is the best place to store mayonnaise.|Once opened, reseal and store in the fridge.|Not suitable for freezing.|none|none
Melon|The fridge is the best place to store melon|Cut melon should be stored in the fridge. Whole melon should be stored in a cupboard or a fruit bowl.|Yes.|none|none
MILK|The fridge is the best place to store milk.|Store your milk in the fridge. Once opened, long life milk should be stored in the fridge. Always follow on-pack guidance.|Yes.|none|none
MUSHROOMS|The fridge is the best place to store mushrooms.|The best way to store mushrooms is in the fridge in their original packaging or in a paper bag.|Yes.|You can freeze mushrooms raw or cooked. Slice and freeze on a tray (or they'll stick together) and transfer to a sealed container.|If you buy large punnets of mushrooms you can keep them fresher for longer by covering them with a tea towel folded into layers and tucking it quite tightly inside the punnett, like a snug blanket. Then keep the mushrooms in the bottom of the fridge and don't forget to tuck the rest back in every time you take some out.
Non-Dairy Milks |The fridge is the best place to store non-dairy milks.|Store fresh milk in the fridge. Ambient or long life milk, once opened, should be stored in the fridge. Always follow on-pack guidance.|Yes.|none|none
NUTS AND SEEDS|The cupboard is the best place to store Nuts and Seeds.|Store nuts in their original pack, sealed with a clip, or in an airtight container in a cool dry place.|Yes.|Nuts can be frozen - make sure they are sealed in a freezer bag or airtight container.|Freshen up any type of nut by toasting them on a baking sheet in the oven for 10 minutes.
OIL|The cupboard is the best place to store oil.|Store at room temperature in a dry place.|Yes.|none|none
ONION (fresh and Spring Onion)|The cupboard is the best place to store onions.|Onions (brown, red, white) are best stored in a cool, dry, dark place, ideally in a cloth bag. Spring onions should be stored in the fridge.|Yes.|none|none
PARSNIP|The fridge is the best place to store parnips.|Store parsnips in the fridge in their original packaging, or alternatively inside a loosely tied plastic bag.|Yes.|Cooked or uncooked parsnips can be frozen. You can blanch in boiling water for a few minutes and cool in ice water or roast in the oven before freezing.|Bendy parsnips? Chop off a small slice from each end and place in cold water. They'll soon perk up..
PASTA (Fresh and Dried)|The cupboard is the best place to store pasta.|Store dry pasta in its original pack, sealed with a clip, or in an airtight container in a cool dry place. Fresh pasta should be stored in the fridge. Always follow on-pack guidance. Beyond Best Before? Dried/foil-pack pasta can be eaten up to three years after the best before end date.                                     












                                                        Ensure your fridge is set to below 5°c check your temperature using our handy tool
                                                    













                                                                    Ensure your fridge is set to below 5°c check your temperature using our handy tool
                                                                















CAN I FREEZE IT?
Yes.


Cooked too much pasta? Rinse it in cold water and freeze in meal-sized portions. These can be reheated in a microwave or in boiling water when needed.



|Yes.|none|none
PASTRIES|The cupboard is the best place to store pastries.|Keep pastries in a cool, dark and dry place, like bread bin or cupboard, in their original packaging, sealed with a bag clip.|Yes.|Wrap tightly and freeze. They can then be reheated in the oven straight from the freezer.|Sprinkle pastries going slightly stale with water and pop in the oven for five minutes to freshen them up.
PEAR|The fridge is the best place to store pears.|For freshness and quality, store pears in the fridge, ideally in their original packaging or in a loosely tied plastic bag.|Yes.|Pears can be frozen in slices after they have been quickly cooked in boiling water. Freeze in a single layer to stop them sticking together, then pack into bags once frozen.|Separate out fruit which is ripening more quickly than the rest. Don’t throw bruised pears away - instead, cut off any brown parts and chop the rest into wedges for a snack, or grate the remaining pear into salads.
PEPPERS (Fresh)|The fridge is the best place to store peppers.|Store them in the fridge in their original packaging.|Yes.|Peppers freeze perfectly. Chop or slice your peppers, pop them in an airtight container and freeze. They can be used straight from frozen.|If you only used part of a pepper, keep the stalk and seeds attached to the remainder and it will keep fresher for longer.
PINEAPPLE|The cupboard is the best place to store pineapples.|Keep your whole pineapple somewhere nice and cool, in a cupboard or on the side. While it is whole, it should not be kept in the fridge. Once chopped, store in the fridge in an airtight container.|Yes.|none|none
PORK (chops, roasting joint etc)|The fridge is the best place to store pork.|All raw meat should be stored at the bottom of the fridge in a clean, sealed container to stop it touching or dripping onto other things.|Yes.|Raw and cooked pork can be frozen. Separate raw pork slices with greaseproof paper and seal in an airtight container before freezing.|Keep cooked meat separate from raw meat.
POTATO (fresh)|The cupboard is the best place to store potatoes.|Store your potatoes in a cool, dry, dark place, ideally in a cloth bag and away from strong-smelling foods like onions.|Yes.|Leftover cooked potatoes can be frozen. You can also roast boiled potatoes straight from the freezer - pop them in the oven with a little oil to crisp up.|To store cooked potatoes, cool them as quickly as possible, ideally within one or two hours, and then store in the fridge for up to two days. If potatoes have sprouted, simply remove the sprouts before use, and remember to cut off any green or rotten bits before using.
PULSES|The cupboard is the best place to store pulses.|Store dry pulses in their original pack, sealed with a clip, or in an airtight container in a cool dry place. When buying tinned pulses never store in open cans in the fridge, as the metal of the can may transfer to the contents. Put them into a sealable container instead. Beyond Best Before? Packed dried pulses can be eaten up to three years after the best before end date.|Yes.|none|none
RICE (Cooked and uncooked)|The cupboard is the best place to store rice.|Store dry rice and grains in their original pack, sealed with a clip, or in an airtight container in a cool dry place. Cooked rice should be served and eaten immediately. If you have cooked too much, cool cooked rice quickly under cold water, drain and store in the fridge or freezer in an airtight container, ideally within one hour. Leftover cooked rice can be kept in the fridge for one day - always re-heat until piping hot before eating.|Yes.|none|none
SALAD LEAVES|The fridge is the best place to store salad leaves.|Store all varieties of salad leaves in the fridge in their original packaging, or alternatively inside a loosely tied plastic bag.|Not suitable for freezing.|Foods with high water content, like lettuce and cucumber, do not freeze well.|Add a piece of kitchen roll to bagged lettuce before sealing with a bag clip, or put lettuce leaves in a tub lined with a piece of kitchen paper to keep them fresh.
Sauces|The fridge is the best place to store sauces|Store your leftover homemade sauce in the fridge and use within a couple of days or freeze. For leftover shop-bought sauces it’s best to follow the storage guidance on the pack or jar - open jars should be stored in the fridge. Beyond Best Before? Unopened jars of sauce can be eaten up to three years after the best before end date.|Yes.|If you’ve made too much sauce for a dish, decant into an airtight tub or freezer bag and freeze. Defrost in the fridge and use within 24 hours.|Leftover sauces can be added straight from frozen, to a wide range of dishes, to add some extra flavour.
SAUSAGES|The fridge is the best place to store them sausages.|All raw meat should be stored at the bottom of the fridge in a clean, sealed container to stop it touching or dripping onto other things.|Yes.|Raw and cooked sausages can be frozen. Separate into portion sizes before freezer, so that you can just defrost one portion at a time. Defrost in the fridge overnight.|Always keep cooked meats in the fridge, well wrapped and away from raw meat. 
SHELLFISH (mussels, prawns, clams, crab etc)|The fridge is the best place to store shellfish.|All raw fish should be stored at the bottom of the fridge in a clean, sealed container to stop it touching or dripping onto other things.|Yes.|none|none
SPICES|The cupboard is the best place to store spices.|Spices should be stored in an airtight container or jar, in a cool dry place and away from direct sunlight.|Yes.|none|none
SPINACH|The fridge is the best place to store spinach.|Keep spinach fresh by storing in its original packaging in the fridge.|Yes.|Wash spinach and steam for two to three minutes. Squeeze out the excess water from the cooked spinach and divide into plastic bags or containers and freeze. Add to any pasta dish, mince, stews or soups when needed. Or why not try shop-bought frozen vegetables? It is often cheaper than fresh, and you can take as much as you need straight from the freezer.|Like salad leaves, pop a piece of kitchen towel in the bag and use a bag clip to seal. This will absorb any excess moisture.
SQUASH (butternut, pumpkin etc)|The cupboard is the best place to store squashes and pumpkins.|Store your whole, uncut squash in a cool, dark place, like a cupboard.|Yes.|Roast or mash squash before freezing. Make sure to freeze in an airtight container or bag.|Once the squash has been cut, wrap tightly and store in the fridge.
STONE FRUITS (plums, peaches)|The fridge is the best place to store stone fruits.|Store your stone fruit in the fridge, in its original packaging.|Yes.|Cut fruits in half or into slices and freeze on a tray, before transferring to an airtight container. Alternatively, you can stew them with some fruit juice to make a pie filling and freeze that.|Separate out fruit which is ripening more quickly than the rest. Don’t throw bruised fruits away - instead, cut off any brown parts and chop the rest into wedges for a snack.
SUGAR|The cupboard is the best place to store sugar.|Store in an airtight container at room temperature.|No.|none|none
SWEETCORN AND CORN ON THE COB (fresh)|The fridge is the best place to store sweetcorn.|Store fresh corn in the fridge, in its original packaging.|Yes.|none|none
SWEET POTATO|The cupboard is the best place to store sweet potato.|Store in a cool, dry, dark place, ideally in a cloth bag.|Yes.|To freeze, wash, peel and boil until tender, slice or mash and sprinkle with lemon juice to stop them from going brown. Cool and put into a container or freezer bag.|To store leftover cooked sweet potato, cool them as quickly as possible, ideally within one or two hours, and then store in the fridge for up to two days. If potatoes have sprouted, simply remove the sprouts before use, and remember to cut off any green or rotten bits before using.
TOMATO (fresh)|The fridge is the best place to store tomatoes.|Store your tomatoes in the fridge in their original packaging to keep them fresher for longer. For best taste, take them out of the fridge up to 24 hours before eating them.|Yes.|Whole cherry tomatoes can be frozen and used straight from the freezer. Try making a sauce with any squishy tomatoes and freezing this for use in pasta or casserole dishes another day.|Slow roast tomatoes that are going past their best - once cooled, cover with oil in an airtight container and store in the fridge. Enjoy the fresh tomato flavour for longer!
WHOLE GRAIN (freekeh,bulgar wheat, millet)|The cupboard is the best place to store whole grains.|Store dry whole grains in their original packaging, sealed with a clip, or in an airtight container in a cool dry place. Cooked whole grains should be served and eaten immediately. If you have cooked too much, cool cooked grains quickly under cold water, drain and store in the fridge or freezer in an airtight container, ideally within one hour. Leftover cooked whole grains can be kept in the fridge for one day - always re-heat until piping hot before eating.|Yes.|none|none
WINE|The cupboard is the best place to store wine.|Store wines in a cool dark place or in the fridge once opened.|Yes.|Freeze leftover wine in ice cube trays then store in an airtight container.|Re-cork wine after every glass poured.
YOGHURT|The fridge is the best place to store yoghurt.|Store yoghurt in the fridge.|Yes.|none|none
